date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:39	1052/1052	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202013%2011:18:38%20GMT	http://localhost/robots.txt		(from )
16:48:43	42775/42775	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:18:41%20GMT	http://localhost/jac/	C:/My%20Web%20Sites/jav/localhost/jac/index.html	(from )
16:48:43	17/17	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:18:43%20GMT	http://localhost/jac/templates/ja_university/	C:/My%20Web%20Sites/jav/localhost/jac/templates/ja_university/index.html	(from http://localhost/jac/)
16:48:44	2527/2527	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2030%20Dec%202013%2011:18:44%20GMT	http://localhost/jac/index.php?format=feed&type=rss	C:/My%20Web%20Sites/jav/localhost/jac/indexc0d0.php	(from http://localhost/jac/)
16:48:46	4193/4193	---M--	200	added ('OK')	application/atom+xml	date:Mon,%2030%20Dec%202013%2011:18:46%20GMT	http://localhost/jac/index.php?format=feed&type=atom	C:/My%20Web%20Sites/jav/localhost/jac/index7b17.php	(from http://localhost/jac/)
16:48:46	10511/10511	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Dec%202013%2011:18:46%20GMT	http://localhost/jac/index.php?jat3action=gzip&jat3type=css&jat3file=t3-assets%2Fcss_c9a0a.css	C:/My%20Web%20Sites/jav/localhost/jac/index12f1.css	(from http://localhost/jac/)
16:48:48	619/619	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Mon,%2030%20Dec%202013%2011:18:48%20GMT	http://localhost/jac/index.php/component/search/?format=opensearch	C:/My%20Web%20Sites/jav/localhost/jac/index.php/component/search/indexf758.html	(from http://localhost/jac/)
16:48:50	42778/42778	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:18:49%20GMT	http://localhost/jac/.	C:/My%20Web%20Sites/jav/localhost/jac/.html	(from http://localhost/jac/)
16:48:50	128614/128614	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Dec%202013%2011:18:49%20GMT	http://localhost/jac/index.php?jat3action=gzip&jat3type=css&jat3file=t3-assets%2Fcss_7fbd0.css	C:/My%20Web%20Sites/jav/localhost/jac/indexe108.css	(from http://localhost/jac/)
16:48:51	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-4ee88d54bbb36%22	http://localhost/jac/plugins/system/jat3/jat3/base-themes/default/images/favicon.ico	C:/My%20Web%20Sites/jav/localhost/jac/plugins/system/jat3/jat3/base-themes/default/images/favicon.ico	(from http://localhost/jac/)
16:48:54	19094/19094	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:18:53%20GMT	http://localhost/jac/index.php/aboutus	C:/My%20Web%20Sites/jav/localhost/jac/index.php/aboutus.html	(from http://localhost/jac/)
16:48:56	16166/16166	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:18:55%20GMT	http://localhost/jac/index.php/aboutus/correspondent	C:/My%20Web%20Sites/jav/localhost/jac/index.php/aboutus/correspondent.html	(from http://localhost/jac/)
16:48:57	466494/466494	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Dec%202013%2011:18:50%20GMT	http://localhost/jac/index.php?jat3action=gzip&jat3type=js&jat3file=t3-assets%2Fjs_1aae6.js	C:/My%20Web%20Sites/jav/localhost/jac/indexea29.php	(from http://localhost/jac/)
16:48:58	14162/14162	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:18:58%20GMT	http://localhost/jac/index.php/aboutus/chairman	C:/My%20Web%20Sites/jav/localhost/jac/index.php/aboutus/chairman.html	(from http://localhost/jac/)
